Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_c56e0ca8	player	Что за ужас вчера произошёл?	game/script.rpy	7	player "[what]"
start_442ac078	player	Вздремну ещё часик, может поможет.	game/script.rpy	15	player "[what]"
start_e300ba43		Прошёл час.	game/script.rpy	18	"[what]"
start_89c0ce86	player	Ааа, нифига не помогло, стало вроде ещё хуже!	game/script.rpy	20	player "[what]"
start_774899ae	player	Ну может организму нужно больше времени для восстановления?	game/script.rpy	23	player "[what]"
start_371bb2ba	player	Посплю ещё.	game/script.rpy	23	player "[what]"
start_dd855e1a		Вы продолжаете лежать, и через какое-то время снова просыпааетесь.	game/script.rpy	30	"[what]"
start_6fe78425	player	Аааааааа, да нифига не легчает!	game/script.rpy	32	player "[what]"
start_6fe91a49	player	Что же за напасть такая?	game/script.rpy	32	player "[what]"
start_7eb18872	player	Если мне что и поможет, так это отдых.	game/script.rpy	39	player "[what]"
start_d3f2223c		Вы лежите так долго, что голова перестаёт вас беспокоить.	game/script.rpy	42	"[what]"
start_bbd5b138		Вы просто умерли.	game/script.rpy	42	"[what]"
start_64375564		Конец!	game/script.rpy	42	"[what]"
start_f15c99e4	player	А, чёрт подери, надо хотя бы пойти попить.	game/script.rpy	51	player "[what]"
start_f15c99e4_1	player	А, чёрт подери, надо хотя бы пойти попить.	game/script.rpy	53	player "[what]"
start_f15c99e4_2	player	А, чёрт подери, надо хотя бы пойти попить.	game/script.rpy	55	player "[what]"
bedroom_label_60bfe19f	player	Ой как голова раскалывается. Хорошо что, кто-то оставил здесь воду и аспирин.	game/script.rpy	73	player "[what]"
bedroom_label_76854aac	player	Ох, полегчало.	game/script.rpy	73	player "[what]"
bedroom_label_eab99a2c	player	А что за бумажка здесь лежит?	game/script.rpy	73	player "[what]"
bedroom_label_6aeadb10	player	Вот чёрт.	game/script.rpy	88	player "[what]"
bedroom_label_08705fcc	player	Есть сразу захотелось! Надо найти кухню.	game/script.rpy	88	player "[what]"
bedroom_label_b38f8e3f	player	Жёсткий диван, от которого у меня всё болит.	game/script.rpy	97	player "[what]"
bedroom_label_8efad6ca	player	Забавный плакат. Какие крутые банки у девушки!	game/script.rpy	99	player "[what]"
bedroom_label_2145cf0f	player	О, какой крутой компьютер! Вот только у него нет питания.	game/script.rpy	101	player "[what]"
bedroom_label_94706bf8	player	Ужас какой бардак тут!	game/script.rpy	103	player "[what]"
bedroom_label_7168e42a	player	Имитированный костёр из светящихся палок.	game/script.rpy	105	player "[what]"
bedroom_label_10d54685	player	Достаточно оригинально и не вредит экологии.	game/script.rpy	105	player "[what]"
coridor_label_a230b0ed	player	Нифиговая такая дверина! Даже из пушки не сломать её.	game/script.rpy	123	player "[what]"
kitchen_label_1c27c627	player	Кошачий корм?	game/script.rpy	136	player "[what]"
kitchen_label_61b01dfb	player	Нет уж, это я точно есть не буду!	game/script.rpy	136	player "[what]"
kitchen_label_e070f0a8	player	Тот зверь может тоже хочет есть, ведь никого здесь больше нет. Возьму-ка я для него баночку.	game/script.rpy	142	player "[what]"
kitchen_label_c959bef3	player	Судя по миске, здесь где-то бродит кот.	game/script.rpy	146	player "[what]"
kitchen_label_f6216035	player	Вот тебе котяра хавчик - ешь.	game/script.rpy	148	player "[what]"
kitchen_label_1b285b2e	player	Да будут открыты врата холодной еды.	game/script.rpy	153	player "[what]"
kitchen_label_53eda26f	player	Вот же чёрт! Кто запирает холодильник на замок?	game/script.rpy	156	player "[what]"
kitchen_label_461102a0	player	"Все мухи бляхи" - а кто такие мухи?	game/script.rpy	159	player "[what]"
kitchen_label_9ed50998	player	Забавная картина. Выглядит, как моя школа, из которой я выпускался.	game/script.rpy	161	player "[what]"
guest_label_ce0b414a	player	Как говорится, пост держи, а обед по расписанию.	game/script.rpy	174	player "[what]"
guest_label_a88c9614	player	Ах! Этот кот строго охраняет этот ключ.	game/script.rpy	177	player "[what]"
guest_label_8952d3ec	player	Мне его не достать просто так.	game/script.rpy	177	player "[what]"
guest_label_42bc7f46	player	ГОСПАДИ!	game/script.rpy	184	player "[what]"
guest_label_5d0d2d35	player	Часы встали.	game/script.rpy	184	player "[what]"
guest_label_08d302ea	player	В этой картине забавно то, что кажется, будто это окно.	game/script.rpy	190	player "[what]"
guest_label_d958822f	player	Тогда я должен быть на очень высоком этаже.	game/script.rpy	190	player "[what]"
guest_label_fd140c79	player	Вы поглядите, это же мафон!	game/script.rpy	196	player "[what]"
guest_label_3fb9db6b	player	Сервер работает - квартира обогревается.	game/script.rpy	198	player "[what]"
guest_label_05571d5b	player	Пока всё логично.	game/script.rpy	198	player "[what]"
